t2m,ssr,pev,tp,lai_hv,lai_lv,number,expver
,,,,,,0,0001
298.77283,12478848.0,-0.009091377,0.022565674,4.410034,1.9069824,0,0001
298.73376,12052262.0,-0.0069450065,0.022054058,3.7406006,1.9692383,0,0001
298.53845,11677476.0,-0.008886866,0.021733109,3.9735107,2.6361084,0,0001
298.43103,11233634.0,-0.008895509,0.021729749,3.9123535,2.3862305,0,0001
298.38025,11038716.0,-0.005312696,0.021638896,3.454712,0.40100098,0,0001
298.77087,12514450.0,-0.009154387,0.021117669,4.8012695,2.7785645,0,0001
298.67126,12032104.0,-0.0108272135,0.021722157,4.109497,0.90026855,0,0001
298.5736,11955276.0,-0.008948639,0.021242548,4.470703,0.8892822,0,0001
298.474,11581134.0,-0.00921379,0.020921592,3.9257812,0.0,0,0001
298.3822,11546368.0,-0.008822098,0.02091201,3.909546,0.0,0,0001
298.30798,11321140.0,-0.008907691,0.020543922,3.946289,0.0,0,0001
298.77478,12155936.0,-0.0076911226,0.019685213,5.737549,1.9119873,0,0001
298.57166,12040864.0,-0.0106239095,0.020327535,4.1695557,0.0,0,0001
298.4662,11816894.0,-0.010030195,0.020505738,3.861084,0.0,0,0001
298.40564,11671694.0,-0.009170085,0.020192105,3.9294434,0.0,0,0001
298.32556,11522090.0,-0.009273462,0.019882794,3.9404297,0.0,0,0001
298.27283,11195932.0,-0.0091066435,0.019020159,3.9317627,0.0,0,0001
298.7611,11973542.0,-0.0045112595,0.017978001,2.9072266,2.6828613,0,0001
298.55017,11671170.0,-0.008035421,0.01865277,3.5690918,1.4071045,0,0001
298.43494,11774788.0,-0.00983981,0.019402493,3.8950195,0.0,0,0001
298.4115,11735036.0,-0.0060574934,0.01937883,3.4995117,1.2550049,0,0001
298.3451,11456964.0,-0.007434711,0.01852611,3.772461,1.2498779,0,0001
298.27283,11351356.0,-0.008604169,0.017627273,4.0319824,1.8726807,0,0001
298.67322,11781786.0,-0.0042811334,0.017813053,3.0473633,1.8856201,0,0001
298.46033,11558868.0,-0.008638583,0.018535811,3.6472168,0.0,0,0001
298.3861,11570426.0,-0.009408429,0.018855687,3.796875,0.0,0,0001
298.37244,11548374.0,-0.009571232,0.018704977,3.8068848,0.0,0,0001
298.35095,11594170.0,-0.009462751,0.018276703,3.803955,1.453125,0,0001
298.32556,11491472.0,-0.009075068,0.017409045,3.8085938,1.5899658,0,0001
